Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,34.5,34.5,34.5,34.5,34.5,0
2021-09-28,34.5,34.5,34.5,34.5,34.5,0
2021-09-29,34.5,34.5,34.5,34.5,34.5,0
2021-09-30,34.5,34.5,34.5,34.5,34.5,0
2021-10-01,34.5,34.5,34.5,34.5,34.5,0
2021-10-04,34.5,34.5,34.5,34.5,34.5,0
2021-10-05,34.5,34.5,34.5,34.5,34.5,0
2021-10-06,34.5,34.5,34.5,34.5,34.5,0
2021-10-07,34.5,34.5,34.5,34.5,34.5,0
2021-10-08,34.5,34.5,34.5,34.5,34.5,0
2021-10-11,34.5,34.5,34.5,34.5,34.5,0
2021-10-12,34.5,34.5,34.5,34.5,34.5,0
2021-10-13,34.5,34.5,34.5,34.5,34.5,0
2021-10-14,34.5,34.5,34.5,34.5,34.5,0
2021-10-15,34.5,34.5,34.5,34.5,34.5,0
2021-10-18,34.5,34.5,34.5,34.5,34.5,0
2021-10-19,34.5,34.5,34.5,34.5,34.5,0
2021-10-20,34.5,34.5,34.5,34.5,34.5,0
2021-10-21,34.5,34.5,34.5,34.5,34.5,0
2021-10-22,34.5,34.5,34.5,34.5,34.5,0
2021-10-25,34.5,34.5,34.5,34.5,34.5,0
2021-10-26,34.5,34.5,34.5,34.5,34.5,0
2021-10-27,34.5,34.5,34.5,34.5,34.5,0
2021-10-28,34.5,34.5,34.5,34.5,34.5,0
2021-10-29,34.5,34.5,34.5,34.5,34.5,0
2021-11-01,34.5,34.5,34.5,34.5,34.5,0
2021-11-02,34.5,34.5,34.5,34.5,34.5,0
2021-11-03,34.5,34.5,34.5,34.5,34.5,0
2021-11-04,34.5,34.5,34.5,34.5,34.5,0
2021-11-05,34.5,34.5,34.5,34.5,34.5,0
2021-11-08,34.5,34.5,34.5,34.5,34.5,0
2021-11-09,34.5,34.5,34.5,34.5,34.5,0
2021-11-10,34.5,34.5,34.5,34.5,34.5,0
2021-11-11,34.5,34.5,34.5,34.5,34.5,0
2021-11-12,34.5,34.5,34.5,34.5,34.5,0
2021-11-15,34.5,34.5,34.5,34.5,34.5,0
2021-11-16,34.5,34.5,34.5,34.5,34.5,0
2021-11-17,34.5,34.5,34.5,34.5,34.5,0
2021-11-18,34.5,34.5,34.5,34.5,34.5,0
2021-11-19,34.5,34.5,34.5,34.5,34.5,0
2021-11-22,34.5,34.5,34.5,34.5,34.5,0
2021-11-23,34.5,34.5,34.5,34.5,34.5,0
2021-11-24,34.5,34.5,34.5,34.5,34.5,0
2021-11-26,34.5,34.5,34.5,34.5,34.5,0
2021-11-29,34.5,34.5,34.5,34.5,34.5,0
2021-11-30,34.5,34.5,34.5,34.5,34.5,0
2021-12-01,34.5,34.5,34.5,34.5,34.5,0
2021-12-02,34.5,34.5,34.5,34.5,34.5,0
2021-12-03,34.5,34.5,34.5,34.5,34.5,0
2021-12-06,34.5,34.5,34.5,34.5,34.5,0
2021-12-07,34.5,34.5,34.5,34.5,34.5,0
2021-12-08,34.5,34.5,34.5,34.5,34.5,0
2021-12-09,34.5,34.5,34.5,34.5,34.5,0
2021-12-10,34.5,34.5,34.5,34.5,34.5,0
2021-12-13,34.5,34.5,34.5,34.5,34.5,0
2021-12-14,34.5,34.5,34.5,34.5,34.5,0
2021-12-15,34.5,34.5,34.5,34.5,34.5,0
2021-12-16,34.5,34.5,34.5,34.5,34.5,0
2021-12-17,34.5,34.5,34.5,34.5,34.5,0
2021-12-20,34.5,34.5,34.5,34.5,34.5,0
2021-12-21,34.5,34.5,34.5,34.5,34.5,0
2021-12-22,34.5,34.5,34.5,34.5,34.5,0
2021-12-23,34.5,34.5,34.5,34.5,34.5,0
2021-12-27,34.5,34.5,34.5,34.5,34.5,0
2021-12-28,34.5,34.5,34.5,34.5,34.5,0
2021-12-29,34.5,34.5,34.5,34.5,34.5,0
2021-12-30,34.5,34.5,34.5,34.5,34.5,0
2021-12-31,34.5,34.5,34.5,34.5,34.5,0
2022-01-03,34.5,34.5,34.5,34.5,34.5,0
2022-01-04,34.5,34.5,34.5,34.5,34.5,0
2022-01-05,34.5,34.5,34.5,34.5,34.5,0
2022-01-06,34.5,34.5,34.5,34.5,34.5,0
2022-01-07,34.5,34.5,34.5,34.5,34.5,0
2022-01-10,34.5,34.5,34.5,34.5,34.5,0
2022-01-11,34.5,34.5,34.5,34.5,34.5,0
2022-01-12,34.5,34.5,34.5,34.5,34.5,0
2022-01-13,34.5,34.5,34.5,34.5,34.5,0
2022-01-14,34.5,34.5,34.5,34.5,34.5,0
2022-01-18,34.5,34.5,34.5,34.5,34.5,0
2022-01-19,34.5,34.5,34.5,34.5,34.5,0
2022-01-20,34.5,34.5,34.5,34.5,34.5,0
2022-01-21,34.5,34.5,34.5,34.5,34.5,0
2022-01-24,34.5,34.5,34.5,34.5,34.5,0
2022-01-25,34.5,34.5,34.5,34.5,34.5,0
2022-01-26,34.5,34.5,34.5,34.5,34.5,0
2022-01-27,34.5,34.5,34.5,34.5,34.5,0
2022-01-28,34.5,34.5,34.5,34.5,34.5,0
2022-01-31,34.5,34.5,34.5,34.5,34.5,0
2022-02-01,34.5,34.5,34.5,34.5,34.5,0
2022-02-02,34.5,34.5,34.5,34.5,34.5,0
2022-02-03,34.5,34.5,34.5,34.5,34.5,0
2022-02-04,34.5,34.5,34.5,34.5,34.5,0
2022-02-07,34.5,34.5,34.5,34.5,34.5,0
2022-02-08,34.5,34.5,34.5,34.5,34.5,0
2022-02-09,34.5,34.5,34.5,34.5,34.5,0
2022-02-10,34.5,34.5,34.5,34.5,34.5,0
2022-02-11,34.5,34.5,34.5,34.5,34.5,0
2022-02-14,34.5,34.5,34.5,34.5,34.5,0
2022-02-15,34.5,34.5,34.5,34.5,34.5,0
2022-02-16,34.5,34.5,34.5,34.5,34.5,0
2022-02-17,34.5,34.5,34.5,34.5,34.5,0
2022-02-18,34.5,34.5,34.5,34.5,34.5,0
2022-02-22,34.5,34.5,34.5,34.5,34.5,0
2022-02-23,34.5,34.5,34.5,34.5,34.5,0
2022-02-24,34.5,34.5,34.5,34.5,34.5,0
2022-02-25,34.5,34.5,34.5,34.5,34.5,0
2022-02-28,34.5,34.5,34.5,34.5,34.5,0
2022-03-02,34.5,34.5,34.5,34.5,34.5,0
